frame,angle,
0,2,
1,2,
2,2,
3,2,
4,2,
5,2,
6,2,
7,2,
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,1,
16,1,
17,1,
18,,
19,,
20,,
21,,
22,2,
23,2,
24,2,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,0,
50,0,
51,0,
52,1,
53,1,
54,1,
55,1,
56,1,
57,1,
58,1,
59,0,
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,0,
70,0,
71,0,
72,0,
73,1,
74,1,
75,1,
76,1,
77,1,
78,1,
79,0,
80,0,
81,0,
82,0,
83,2,
84,2,
85,2,
86,2,
87,2,
88,2,
89,2,
90,2,
91,2,
92,2,
93,2,
94,2,
95,2,
96,2,
97,2,
98,2,
99,2,
100,2,
101,2,
102,2,
103,2,
104,2,
105,2,
106,2,
107,2,
108,2,
109,2,
110,3,
111,3,
112,3,
113,3,
114,3,
115,3,
116,3,
117,3,
118,3,
119,3,
120,3,
121,2,
122,2,
123,2,
124,2,
125,2,
126,2,
127,1,
128,1,
129,1,
130,1,
131,1,
132,1,
133,1,
134,1,
135,1,
136,1,
137,1,
138,1,
139,1,
140,1,
141,1,
142,1,
143,1,
144,0,
145,0,
146,0,
147,0,
148,1,
149,1,
150,1,
151,1,
152,1,
153,1,
154,1,
155,1,
156,1,
157,1,
158,2,
159,2,
160,2,
161,2,
162,2,
163,2,
164,2,
165,2,
166,2,
167,2,
168,1,
169,1,
170,1,
171,1,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,
187,0,
188,0,
189,0,
190,0,
191,0,
192,0,
193,1,
194,1,
195,1,
196,1,
197,1,
198,1,
199,1,
200,1,
201,1,
202,1,
203,0,
204,0,
205,0,
206,1,
207,1,
208,1,
209,1,
210,2,
211,2,
212,2,
213,4,
214,4,
215,4,
216,4,
217,5,
218,5,
219,5,
220,6,
221,6,
222,6,
223,6,
224,5,
225,5,
226,5,
227,1,
228,1,
229,1,
230,1,
231,,
232,,
233,,
234,,
235,,
236,,
237,9,
238,9,
239,9,
240,9,
241,5,
242,5,
243,5,
244,11,
245,11,
246,11,
247,11,
248,9,
249,9,
250,9,
251,4,
252,4,
253,4,
254,4,
255,,
256,,
257,,
258,7,
259,7,
260,7,
261,7,
262,10,
263,10,
264,10,
265,12,
266,12,
267,12,
268,14,
269,14,
270,14,
271,14,
272,14,
273,14,
274,14,
275,13,
276,13,
277,13,
278,13,
279,11,
280,11,
281,11,
282,7,
283,7,
284,7,
285,7,
286,0,
287,0,
288,0,
289,0,
290,0,
291,0,
292,14,
293,14,
294,14,
295,14,
296,10,
297,10,
298,10,
299,26,
300,26,
301,26,
302,21,
303,21,
304,21,
305,21,
306,28,
307,28,
308,28,
309,21,
310,21,
311,21,
312,21,
313,26,
314,26,
315,26,
316,23,
317,23,
318,23,
319,23,
320,18,
321,18,
322,18,
323,14,
324,14,
325,14,
326,9,
327,9,
328,9,
329,9,
330,,
331,,
332,,
333,2,
334,2,
335,2,
336,5,
337,5,
338,5,
339,5,
340,4,
341,4,
342,4,
343,2,
344,2,
345,2,
346,2,
347,1,
348,1,
349,1,
350,0,
351,0,
352,0,
353,0,
354,0,
355,0,
356,0,
357,1,
358,1,
359,1,
360,1,
361,1,
362,1,
363,1,
364,2,
365,2,
366,2,
367,3,
368,3,
369,3,
370,3,
371,4,
372,4,
373,4,
374,5,
375,5,
376,5,
377,5,
378,5,
379,5,
380,5,
381,5,
382,5,
383,5,
384,5,
385,5,
386,5,
387,5,
388,5,
389,5,
390,5,
391,5,
392,5,
393,5,
394,5,
395,,
396,,
397,,
398,1,
399,1,
400,1,
401,1,
402,0,
403,0,
404,0,
405,0,
406,0,
407,0,
408,1,
409,1,
410,1,
411,1,
412,2,
413,2,
414,2,
415,4,
416,4,
417,4,
418,4,
419,5,
420,5,
421,5,
422,5,
423,5,
424,5,
425,5,
426,4,
427,4,
428,4,
429,10,
430,10,
431,10,
432,10,
433,11,
434,11,
435,11,
436,13,
437,13,
438,13,
439,13,
440,11,
